nazwa_produktu,kategoria,emotikonka
Notes kostka kolorowy,artykuły biurowe,✏️
Notes samoprzylepny neonowy,artykuły biurowe,✏️
Notes samoprzylepny pastelowy,artykuły biurowe,✏️
Ołówek z gumką,artykuły biurowe,✏️
Ołówek bez gumki,artykuły biurowe,✏️
Ołówek 2B do szkicowania,artykuły biurowe,✏️
Ołówek 2H twardy,artykuły biurowe,✏️
Paczka papieru ksero A4 80g,artykuły biurowe,✏️
Paczka papieru ksero A4 kolorowy,artykuły biurowe,✏️
Paczka papieru ksero A3,artykuły biurowe,✏️
Papier fotograficzny,artykuły biurowe,✏️
Piórnik tuba,artykuły biurowe,✏️
Piórnik z wyposażeniem,artykuły biurowe,✏️
Podkładka z klipsem (Clipboard) A4,artykuły biurowe,✏️
Podkładka z klipsem zamykana,artykuły biurowe,✏️
Pojemnik na długopisy i przybory,artykuły biurowe,✏️
Pinezki tablicowe,artykuły biurowe,✏️
Pinezki do mapy (chorągiewki),artykuły biurowe,✏️
Przekładki kartonowe A4,artykuły biurowe,✏️
Przekładki plastikowe numeryczne,artykuły biurowe,✏️
Przybornik na biurko obrotowy,artykuły biurowe,✏️
Rozszywacz,artykuły biurowe,✏️
Segregator 50mm,artykuły biurowe,✏️
Segregator 75mm,artykuły biurowe,✏️
Segregator ofertowy z koszulką na okładce,artykuły biurowe,✏️
Skoroszyt wpinany,artykuły biurowe,✏️
Skoroszyt zawieszany do szuflad,artykuły biurowe,✏️
Skoroszyt z klipsem,artykuły biurowe,✏️
Spinacze kolorowe powlekane,artykuły biurowe,✏️
Spinacze metalowe 28mm,artykuły biurowe,✏️
Spinacze metalowe 50mm,artykuły biurowe,✏️
Sznurek jutowy,artykuły biurowe,✏️
Taśma klejąca biurowa 18x30,artykuły biurowe,✏️
Taśma klejąca szeroka pakowa,artykuły biurowe,✏️
Taśma klejąca matowa (niewidoczna),artykuły biurowe,✏️
Teczka z gumką kartonowa,artykuły biurowe,✏️
Teczka z gumką plastikowa,artykuły biurowe,✏️
Teczka wiązana,artykuły biurowe,✏️
Teczka ofertowa 10 koszulek,artykuły biurowe,✏️
Teczka ofertowa 40 koszulek,artykuły biurowe,✏️
Teczka harmonijkowa na dokumenty,artykuły biurowe,✏️
Teczka konferencyjna,artykuły biurowe,✏️
Temperówka z pojemnikiem pojedyncza,artykuły biurowe,✏️
Temperówka z pojemnikiem podwójna,artykuły biurowe,✏️
Temperówka metalowa,artykuły biurowe,✏️
Temperówka elektryczna,artykuły biurowe,✏️
Tusz do pieczątek niebieski,artykuły biurowe,✏️
Tusz do pieczątek czarny,artykuły biurowe,✏️
Wizytownik biurkowy,artykuły biurowe,✏️
Wizytownik kieszonkowy,artykuły biurowe,✏️
Wkłady do ołówka automatycznego 0.5,artykuły biurowe,✏️
Wkłady do ołówka automatycznego 0.7,artykuły biurowe,✏️
Wkłady do długopisu,artykuły biurowe,✏️
Zakładki indeksujące plastikowe,artykuły biurowe,✏️
Zakładki indeksujące papierowe strzałki,artykuły biurowe,✏️
Zakreślacz pastelowy (zestaw),artykuły biurowe,✏️
Zakreślacz fluorescencyjny żółty,artykuły biurowe,✏️
Zeszyt A5 16 kartek w linię,artykuły biurowe,✏️
Zeszyt A5 32 kartki w kratkę,artykuły biurowe,✏️
Zeszyt A5 60 kartek w kratkę,artykuły biurowe,✏️
Zeszyt A5 96 kartek w kratkę,artykuły biurowe,✏️
Zeszyt do nut,artykuły biurowe,✏️
Zeszyt do słówek,artykuły biurowe,✏️
Zszywacz mini,artykuły biurowe,✏️
Zszywacz biurowy standardowy,artykuły biurowe,✏️
Zszywacz długoramienny,artykuły biurowe,✏️
Zszywki rozmiar 10,artykuły biurowe,✏️
Zszywki rozmiar 24/6,artykuły biurowe,✏️
Zszywki rozmiar 26/6,artykuły biurowe,✏️
Bateria alkaliczna AA (4 szt.),artykuły domowe,🏠
Bateria alkaliczna AAA (4 szt.),artykuły domowe,🏠
Bateria alkaliczna 9V,artykuły domowe,🏠
Bateria guzikowa CR2032,artykuły domowe,🏠
Bateria R14 (C),artykuły domowe,🏠
Bateria R20 (D),artykuły domowe,🏠
Czajnik elektryczny 1.7L,artykuły domowe,🏠
Czajnik tradycyjny na gaz,artykuły domowe,🏠
Chochla do zupy stalowa,artykuły domowe,🏠
Chochla silikonowa,artykuły domowe,🏠
Deska do krojenia bambusowa,artykuły domowe,🏠
Deska do krojenia plastikowa,artykuły domowe,🏠
Deska do krojenia szklana,artykuły domowe,🏠
Dozownik do mydła ceramiczny,artykuły domowe,🏠
Dozownik do mydła automatyczny,artykuły domowe,🏠
Durszlak metalowy,artykuły domowe,🏠
Durszlak składany silikonowy,artykuły domowe,🏠
Fartuch kuchenny lniany,artykuły domowe,🏠
Fartuch wodoodporny,artykuły domowe,🏠
Filtry do kawy rozmiar 2,artykuły domowe,🏠
Filtry do kawy rozmiar 4,artykuły domowe,🏠
Folia aluminiowa 20m,artykuły domowe,🏠
Folia spożywcza (stretch),artykuły domowe,🏠
Foremki do muffinek silikonowe,artykuły domowe,🏠
Foremki do lodu,artykuły domowe,🏠
Garnek emaliowany 5L,artykuły domowe,🏠
Garnek do gotowania na parze,artykuły domowe,🏠
Garnek rzymski,artykuły domowe,🏠
Rondel stalowy,artykuły domowe,🏠
Klamerki do bielizny plastikowe,artykuły domowe,🏠
Klamerki do bielizny drewniane,artykuły domowe,🏠
Korkociąg kelnerski,artykuły domowe,🏠
Korkociąg dźwigniowy,artykuły domowe,🏠
Latarka czołowa (czołówka),artykuły domowe,🏠
Latarka warsztatowa magnes,artykuły domowe,🏠
Miska kuchenna stalowa,artykuły domowe,🏠
Miska do prania 10L,artykuły domowe,🏠
Miska do prania kwadratowa,artykuły domowe,🏠
Obrus bawełniany,artykuły domowe,🏠
Bieżnik na stół,artykuły domowe,🏠
Podkładka pod talerz korkowa,artykuły domowe,🏠
Otwieracz do butelek ścienny,artykuły domowe,🏠
Papier do pieczenia arkusze,artykuły domowe,🏠
Rękaw do pieczenia mięsa,artykuły domowe,🏠
Patelnia teflonowa 24cm,artykuły domowe,🏠
Patelnia ceramiczna 28cm,artykuły domowe,🏠
Patelnia do naleśników,artykuły domowe,🏠
Patelnia grillowa,artykuły domowe,🏠
Patyczki do szaszłyków metalowe,artykuły domowe,🏠
Pokrywka uniwersalna silikonowa,artykuły domowe,🏠
Pokrywka szklana z odpowietrznikiem,artykuły domowe,🏠
Przedłużacz listwowy 3-gniazda 1.5m,artykuły domowe,🏠
Przedłużacz listwowy 5-gniazd z wyłącznikiem,artykuły domowe,🏠
Przedłużacz bębnowy 10m,artykuły domowe,🏠
Pudełko do przechowywania z pokrywką,artykuły domowe,🏠
Pojemnik na żywność szklany,artykuły domowe,🏠
Pojemnik na żywność próżniowy,artykuły domowe,🏠
Organizer do szuflady na sztućce,artykuły domowe,🏠
Sitko do herbaty (zaparzacz),artykuły domowe,🏠
Sitko kuchenne gęste,artykuły domowe,🏠
Suszarka do naczyń dwupoziomowa,artykuły domowe,🏠
Mata do suszenia naczyń,artykuły domowe,🏠
Suszarka do ubrań pionowa,artykuły domowe,🏠
Suszarka na kaloryfer,artykuły domowe,🏠
Szufelka i zmiotka komplet,artykuły domowe,🏠
Szczotka do zamiatania (ulica),artykuły domowe,🏠
Mop płaski z mikrofibry,artykuły domowe,🏠
Mop obrotowy z wiadrem,artykuły domowe,🏠
Szklanka do latte,artykuły domowe,🏠
Kieliszek do wina czerwonego,artykuły domowe,🏠
Kufel do piwa,artykuły domowe,🏠
Sztućce komplet (24 elementy),artykuły domowe,🏠
Łyżeczka do herbaty,artykuły domowe,🏠
Widelec do ciasta,artykuły domowe,🏠
Ściereczka z mikrofibry do szyb,artykuły domowe,🏠
Ściereczka kuchenna bawełniana,artykuły domowe,🏠
Gąbka do naczyń (10 szt.),artykuły domowe,🏠
Druciak metalowy,artykuły domowe,🏠
Świeca sojowa w słoiku,artykuły domowe,🏠
Podgrzewacze (tealighty) 50 szt.,artykuły domowe,🏠
Termometr zaokienny,artykuły domowe,🏠
Termometr do pieczenia mięsa,artykuły domowe,🏠
Waga łazienkowa elektroniczna,artykuły domowe,🏠
Waga kuchenna z misą,artykuły domowe,🏠
Wałek do ciasta silikonowy,artykuły domowe,🏠
Wałek do ciasta grawerowany,artykuły domowe,🏠
Wieszaki na spodnie,artykuły domowe,🏠
Wieszaki welurowe (antypoślizgowe),artykuły domowe,🏠
Wykałaczki w pojemniku,artykuły domowe,🏠
Zapalniczka do gazu długa,artykuły domowe,🏠
Żarówka LED E27 ciepła biel,artykuły domowe,🏠
Żarówka LED E14 (mały gwint),artykuły domowe,🏠
Żarówka LED GU10 (reflektor),artykuły domowe,🏠
Worki na śmieci 35L z taśmą,artykuły domowe,🏠
Worki na śmieci 60L wzmocnione,artykuły domowe,🏠
Worki na śmieci 120L (ogrodowe),artykuły domowe,🏠
Rękawice gumowe rozmiar M,artykuły domowe,🏠
Ręcznik papierowy jumbo,artykuły domowe,🏠
Rolka do czyszczenia ubrań,artykuły domowe,🏠
Wkłady do rolki do ubrań,artykuły domowe,🏠
Koszyk łazienkowy na drobiazgi,artykuły domowe,🏠
Szczotka do WC,artykuły domowe,🏠
Deska do prasowania,artykuły domowe,🏠
Pokrowiec na deskę do prasowania,artykuły domowe,🏠
Podkładki filcowe pod meble,artykuły domowe,🏠
Stoper do drzwi,artykuły domowe,🏠
Płyn do naczyń cytrynowy,chemia,🧴
Płyn do naczyń balsam (aloes),chemia,🧴
Płyn do naczyń koncentrat,chemia,🧴
Płyn do prania tkanin czarnych,chemia,🧴
Płyn do prania tkanin kolorowych,chemia,🧴
Płyn do prania wełny i jedwabiu,chemia,🧴
Płyn do płukania tkanin Sensitive,chemia,🧴
Płyn do płukania tkanin Floral,chemia,🧴
Płyn do mycia podłóg drewnianych,chemia,🧴
Płyn do mycia paneli,chemia,🧴
Płyn do mycia gresu i terakoty,chemia,🧴
Płyn do mycia szyb z alkoholem,chemia,🧴
Płyn do szyb antypara (Anti-Fog),chemia,🧴
Płyn do mycia luster,chemia,🧴
Proszek do prania biały (duża paczka),chemia,🧴
Proszek do prania kolor,chemia,🧴
Proszek do firanek,chemia,🧴
Tabletki do prania Universal,chemia,🧴
Kapsułki do prania 3w1,chemia,🧴
Kostki do zmywarki All-in-One,chemia,🧴
Kostki do zmywarki Platinum,chemia,🧴
Żel do zmywarki,chemia,🧴
Kostka do WC zawieszka (leśna),chemia,🧴
Kostka do WC zawieszka (morska),chemia,🧴
Żel do mycia WC (usuwanie kamienia),chemia,🧴
Płyn do dezynfekcji toalet (z chlorem),chemia,🧴
Nabłyszczacz do zmywarki standardowy,chemia,🧴
Sól do zmywarki gruboziarnista,chemia,🧴
Czyścik do zmywarek (płyn),chemia,🧴
Zapach do zmywarki,chemia,🧴
Udrażniacz do rur w granulkach,chemia,🧴
Udrażniacz do rur w żelu (bezpieczny dla plastiku),chemia,🧴
Worek na śmieci 35L z taśmą,chemia,🧴
Worek na śmieci 60L LDPE wzmocniony,chemia,🧴
Worek na śmieci 120L czarny,chemia,🧴
Woreczki strunowe małe (zestaw),chemia,🧴
Woreczki do mrożenia żywności,chemia,🧴
Zapach do odkurzacza (wkłady),chemia,🧴
Ściereczki nasączone do mebli,chemia,🧴
Ściereczki nasączone do łazienki,chemia,🧴
Ściereczki do ekranów i LCD,chemia,🧴
Odtłuszczacz kuchenny (spray),chemia,🧴
Mleczko do czyszczenia z mikrodrobinkami,chemia,🧴
Spray do czyszczenia kabin prysznicowych,chemia,🧴
Aktywna piana do łazienki,chemia,🧴
Preparat na pleśń i grzyby,chemia,🧴
Odplamiacz w sprayu,chemia,🧴
Odplamiacz w proszku (Oxy Action),chemia,🧴
Mydło odplamiające (galasowe),chemia,🧴
Wybielacz do tkanin,chemia,🧴
Chusteczki wyłapujące kolor (do prania),chemia,🧴
Krochmal w płynie,chemia,🧴
Woda destylowana do żelazka,chemia,🧴
Odkamieniacz w proszku do czajników,chemia,🧴
Odkamieniacz w płynie do ekspresów,chemia,🧴
Pasta do czyszczenia srebra i metalu,chemia,🧴
Nabłyszczacz do mebli w aerozolu,chemia,🧴
Preparat do konserwacji skóry (meblowy),chemia,🧴
Płyn do mycia nagrobków,chemia,🧴
Szampon do dywanów i tapicerki,chemia,🧴
Neutralizator zapachów w sprayu,chemia,🧴
Odświeżacz powietrza w żelu,chemia,🧴
Odświeżacz powietrza automatyczny (wkład),chemia,🧴
Benzyna ekstrakcyjna (mała butelka),chemia,🧴
Denaturat,chemia,🧴
Izopropanol (do elektroniki),chemia,🧴
Soda oczyszczona (opakowanie gospodarcze),chemia,🧴
Kwas cytrynowy (opakowanie gospodarcze),chemia,🧴
Boraks do celów czyszczących,chemia,🧴
Szare mydło w płynie,chemia,🧴
Tabletki solne do uzdatniaczy wody,chemia,🧴
Mleko,nabiał,🥛
Mleko bez laktozy,nabiał,🥛
Mleko kozie,nabiał,🥛
Mleko zagęszczone,nabiał,🥛
Mleczko kokosowe,nabiał,🥛
Masło,nabiał,🥛
Masło klarowane (Ghee),nabiał,🥛
Jogurt naturalny,nabiał,🥛
Jogurt grecki,nabiał,🥛
Skyr,nabiał,🥛
Kefir,nabiał,🥛
Maślanka,nabiał,🥛
Zsiadłe mleko,nabiał,🥛
Śmietana,nabiał,🥛
Śmietanka do kawy,nabiał,🥛
Bita śmietana,nabiał,🥛
Twaróg,nabiał,🥛
Twaróg sernikowy (mielony),nabiał,🥛
Serek wiejski,nabiał,🥛
Serek homogenizowany,nabiał,🥛
Serek śmietankowy do smarowania,nabiał,🥛
Serek topiony,nabiał,🥛
Mozzarella,nabiał,🥛
Feta,nabiał,🥛
Halloumi,nabiał,🥛
Ricotta,nabiał,🥛
Mascarpone,nabiał,🥛
Brie,nabiał,🥛
Camembert,nabiał,🥛
Gorgonzola,nabiał,🥛
Parmezan,nabiał,🥛
Gouda (ser żółty twardy),nabiał,🥛
Oscypek,nabiał,🥛
Bryndza,nabiał,🥛
Tofu,nabiał,🥛
Napój roślinny (owsiany/sojowy),nabiał,🥛
Jaja kurze,nabiał,🥛
Jaja przepiórcze,nabiał,🥛
Margaryna,nabiał,🥛
Mix maślany,nabiał,🥛
Deser mleczny (pudding),nabiał,🥛
Puszka skondensowanego mleka słodzonego (kajmak),nabiał,🥛
Chleb żytni na zakwasie,pieczywo,🍞
Chleb słonecznikowy,pieczywo,🍞
Chleb proteinowy,pieczywo,🍞
Chleb kukurydziany,pieczywo,🍞
Bagietka korzenna,pieczywo,🍞
Pajda szczecińska (duży bochen),pieczywo,🍞
Bułka dyniowa,pieczywo,🍞
Bułka fitness (z ziarnami),pieczywo,🍞
Bułka wrocławska,pieczywo,🍞
Sznyka z kruszonką,pieczywo,🍞
Jagodzianka,pieczywo,🍞
Pączek,pieczywo,🍞
Drożdżówka z serem,pieczywo,🍞
Donut,pieczywo,🍞
Muffinka wytrawna,pieczywo,🍞
Eklera,pieczywo,🍞
Gniazdko (pączek hiszpański),pieczywo,🍞
Pasztecik z kapustą i grzybami,pieczywo,🍞
Kulebiak,pieczywo,🍞
Pizzinka (zapiekanka bułkowa),pieczywo,🍞
Chleb litewski (ciemny, słodkawy),pieczywo,🍞
Chleb irlandzki (sodowy),pieczywo,🍞
Knäckebröd (szwedzkie pieczywo żytnie),pieczywo,🍞
Lawaš (lawasz),pieczywo,🍞
Podpłomyk,pieczywo,🍞
Scones (bułeczki brytyjskie),pieczywo,🍞
Gofry (biszkoptowe/belgijskie),pieczywo,🧇
Biszkopty (pieczywo cukiernicze),pieczywo,🍞
Grzanki (gotowe do sałatek),pieczywo,🍞
Panini,pieczywo,🍞
Pletzel (cebulak),pieczywo,🍞
Obwarzanek,pieczywo,🍞
Chleb bananowy,pieczywo,🍞
Keks,pieczywo,🍞
Woda mineralna wysokozmineralizowana,napoje,🥤
Woda smakowa,napoje,🥤
Woda lecznicza (leczniczo-swoista),napoje,🥤
Sok z czarnej porzeczki (nektar),napoje,🥤
Sok pomidorowy,napoje,🥤
Sok wielowarzywny,napoje,🥤
Sok z kiszonej kapusty,napoje,🥤
Syrop do rozcieńczania (owocowy),napoje,🥤
Lemoniada,napoje,🥤
Tonic,napoje,🥤
Napój gazowany typu Lime-Lemon,napoje,🥤
Oranżada,napoje,🥤
Kwas chlebowy,napoje,🥤
Podpiwek,napoje,🥤
Kombucha (napój z grzyba herbacianego),napoje,🥤
Yerba Mate (gotowa do picia),napoje,🥤
Napój energetyczny (Energy Drink),napoje,🥤
Napój izotoniczny,napoje,🥤
Napój aloesowy,napoje,🥤
Nektar z bananów,napoje,🥤
Mrożona herbata (Ice Tea),napoje,🥤
Mrożona kawa (Frappe),napoje,🥤
Kakao (napój czekoladowy),napoje,🥤
Czekolada na gorąco,napoje,🥤
Cydr,napoje,🥤
Perry (cydr z gruszek),napoje,🥤
Szampan (wino musujące),napoje,🥤
Prosecco,napoje,🥤
Wermut,napoje,🥤
Nalewka owocowa,napoje,🥤
Likier,napoje,🥤
Wódka,napoje,🥤
Whisky,napoje,🥤
Gin,napoje,🥤
Rum,napoje,🥤
Tequila,napoje,🥤
Koniak,napoje,🥤
Burbon,napoje,🥤
Napój owsiany,napoje,🥤
Napój migdałowy,napoje,🥤
Napój sojowy,napoje,🥤
Smoothie owocowe,napoje,🥤
Zioła do zaparzania (napar),napoje,🥤
Makaron pszenny,produkty sypkie,🌾
Makaron pełnoziarnisty,produkty sypkie,🌾
Makaron jajeczny,produkty sypkie,🌾
Makaron ryżowy,produkty sypkie,🌾
Makaron kukurydziany,produkty sypkie,🌾
Makaron sojowy,produkty sypkie,🌾
Ryż,produkty sypkie,🌾
Ryż do sushi (krótkoziarnisty),produkty sypkie,🌾
Ryż dziki,produkty sypkie,🌾
Kasza gryczana,produkty sypkie,🌾
Kasza jaglana,produkty sypkie,🌾
Kasza jęczmienna,produkty sypkie,🌾
Kasza manna,produkty sypkie,🌾
Kasza kuskus,produkty sypkie,🌾
Kasza bulgur,produkty sypkie,🌾
Kukurydza do popcornu,produkty sypkie,🌾
Komosa ryżowa (Quinoa),produkty sypkie,🌾
Amarantus,produkty sypkie,🌾
Mąka pszenna,produkty sypkie,🌾
Mąka żytnia,produkty sypkie,🌾
Mąka ziemniaczana (skrobia),produkty sypkie,🌾
Mąka kukurydziana,produkty sypkie,🌾
Mąka migdałowa,produkty sypkie,🌾
Mąka ryżowa,produkty sypkie,🌾
Mąka kokosowa,produkty sypkie,🌾
Płatki owsiane,produkty sypkie,🌾
Płatki kukurydziane,produkty sypkie,🌾
Płatki orkiszowe,produkty sypkie,🌾
Otręby pszenne,produkty sypkie,🌾
Musli,produkty sypkie,🌾
Granola,produkty sypkie,🌾
Cukier biały,produkty sypkie,🌾
Cukier puder,produkty sypkie,🌾
Erytrol (słodzik sypki),produkty sypkie,🌾
Ksylitol,produkty sypkie,🌾
Sól spożywcza,produkty sypkie,🌾
Sól peklująca,produkty sypkie,🌾
Proszek do pieczenia,produkty sypkie,🌾
Soda oczyszczona,produkty sypkie,🌾
Drożdże suche (instant),produkty sypkie,🌾
Kwasek cytrynowy,produkty sypkie,🌾
Żelatyna,produkty sypkie,🌾
Bułka tarta,produkty sypkie,🌾
Soczewica czerwona,produkty sypkie,🌾
Soczewica zielona,produkty sypkie,🌾
Ciecierzyca,produkty sypkie,🌾
Groch łuskany (połówki),produkty sypkie,🌾
Fasola biała (Jaś),produkty sypkie,🌾
Fasola czerwona (Kidney),produkty sypkie,🌾
Sojowe kawałki (teksturat),produkty sypkie,🌾
Tapioka (perełki),produkty sypkie,🌾
Kakao ciemne,produkty sypkie,🌾
Ananas,owoc,🍎
Arbuz,owoc,🍎
Banan,owoc,🍎
Borówka amerykańska,owoc,🍎
Jagoda leśna,owoc,🍎
Brzoskwinia,owoc,🍎
Cytryna,owoc,🍎
Czereśnia,owoc,🍎
Gruszka,owoc,🍎
Jabłko,owoc,🍎
Kiwi,owoc,🍎
Malina,owoc,🍎
Mango,owoc,🍎
Melon,owoc,🍎
Nektarynka,owoc,🍎
Pomarańcza,owoc,🍎
Śliwka,owoc,🍎
Truskawka,owoc,🍎
Winogrono,owoc,🍎
Wiśnia,owoc,🍎
Grejpfrut,owoc,🍎
Mandarynka,owoc,🍎
Limonka,owoc,🍎
Granat,owoc,🍎
Awokado,owoc,🍎
Morela,owoc,🍎
Pigwa,owoc,🍎
Żurawina,owoc,🍎
Agrest,owoc,🍎
Porzeczka (czarna/czerwona),owoc,🍎
Jeżyna,owoc,🍎
Poziomka,owoc,🍎
Kaki (Persymona),owoc,🍎
Papaja,owoc,🍎
Marakuja,owoc,🍎
Smoczy owoc (Pitaja),owoc,🍎
Lichi,owoc,🍎
Figa świeża,owoc,🍎
Daktyle świeże,owoc,🍎
Karambola,owoc,🍎
Rabarbar (botanicznie warzywo, kulinarnie owoc),owoc,🍎
Dereń,owoc,🍎
Rokitnik,owoc,🍎
Brokuł,warzywo,🥕
Cebula,warzywo,🥕
Cukinia,warzywo,🥕
Czosnek,warzywo,🥕
Kalafior,warzywo,🥕
Kapusta biała,warzywo,🥕
Kapusta pekińska,warzywo,🥕
Kapusta włoska,warzywo,🥕
Marchew,warzywo,🥕
Ogórek,warzywo,🥕
Papryka słodka,warzywo,🥕
Papryka chili,warzywo,🥕
Pietruszka korzeń,warzywo,🥕
Pomidor,warzywo,🥕
Por,warzywo,🥕
Sałata masłowa,warzywo,🥕
Seler korzeniowy,warzywo,🥕
Seler naciowy,warzywo,🥕
Ziemniak,warzywo,🥕
Batat (słodki ziemniak),warzywo,🥕
Bakłażan,warzywo,🥕
Rzodkiewka,warzywo,🥕
Bób,warzywo,🥕
Fasolka szparagowa,warzywo,🥕
Groszek cukrowy,warzywo,🥕
Dynia,warzywo,🥕
Szparagi,warzywo,🥕
Szpinak świeży,warzywo,🥕
Rzepa,warzywo,🥕
Brukiew,warzywo,🥕
Kalarepa,warzywo,🥕
Burak ćwikłowy,warzywo,🥕
Botwina,warzywo,🥕
Jarmuż,warzywo,🥕
Rukola,warzywo,🥕
Roszponka,warzywo,🥕
Kukurydza (kolba),warzywo,🥕
Karczoch,warzywo,🥕
Fenkul (Koper włoski),warzywo,🥕
Bakłażan,warzywo,🥕
Chrzan korzeń,warzywo,🥕
Szczypiorek,warzywo,🥕
Koper,warzywo,🥕
Natka pietruszki,warzywo,🥕
Pierś z kurczaka,mięso i wędliny,🍖
Udko z indyka,mięso i wędliny,🍖
Kaczka cała,mięso i wędliny,🍖
Gęś,mięso i wędliny,🍖
Schab wieprzowy,mięso i wędliny,🍖
Polędwiczka wieprzowa,mięso i wędliny,🍖
Karkówka,mięso i wędliny,🍖
Żeberka wieprzowe,mięso i wędliny,🍖
Boczek,mięso i wędliny,🍖
Golonka,mięso i wędliny,🍖
Łopatka wieprzowa,mięso i wędliny,🍖
Antrykot wołowy,mięso i wędliny,🍖
Polędwica wołowa,mięso i wędliny,🍖
Rostbef,mięso i wędliny,🍖
Pręga wołowa,mięso i wędliny,🍖
Mielone mięso mieszane,mięso i wędliny,🍖
Cielęcina,mięso i wędliny,🍖
Jagnięcina,mięso i wędliny,🍖
Dziczyzna (np. sarnina),mięso i wędliny,🍖
Królik,mięso i wędliny,🍖
Szynka gotowana,mięso i wędliny,🍖
Szynka dojrzewająca,mięso i wędliny,🍖
Polędwica łososiowa,mięso i wędliny,🍖
Salami,mięso i wędliny,🍖
Kiełbasa wędzona,mięso i wędliny,🍖
Kiełbasa biała surowa,mięso i wędliny,🍖
Kabanosy,mięso i wędliny,🍖
Parówki,mięso i wędliny,🍖
Serdelki,mięso i wędliny,🍖
Kaszanka,mięso i wędliny,🍖
Pasztetowa,mięso i wędliny,🍖
Salceson,mięso i wędliny,🍖
Metka,mięso i wędliny,🍖
Leberka,mięso i wędliny,🍖
Pasztet pieczony,mięso i wędliny,🍖
Wątróbka drobiowa,mięso i wędliny,🍖
Serca drobiowe,mięso i wędliny,🍖
Ozory wołowe,mięso i wędliny,🍖
Żołądki drobiowe,mięso i wędliny,🍖
Smalec,mięso i wędliny,🍖
